Coal
Lignite
Peat
Coke
Coal Gas
Propane Gas
Butane Gas
Natural Gas
LPG
Kerosene
Petrol
Diesel
Bio Diesel
Fuel Oil
Greases and Lubricants
White Oil and Paraffin
Petroleum jelly and wax
Petroleum oils
Special Spirit
Bituminous Oil
Coal Oil
Coal Tar
Residual lyes
Uranium
Plutonium
Radioactive materials
Rock salt
Sea salt
Road salt
Salt in Brine
Precious stones
Diamonds
Rubies
Semi-precious stones
Emeralds
Opal stone
Industrial diamonds
Quartz stone
Tourmaline stone
Gold
Coins
Medals
Silver
Platinum
Articles of jewellery
Piezo-electric quartz
Pearls
Synthetic stones
Imitation jewellery
Pumice stone
Emery
Natural abrasives
Minerals
Millstones
Grindstones
Abrasive Product
Artificial corundum
Artificial graphite
Iron ores
Copper ores
Nickel ores
Aluminium ores
Precious-metal ores
Lead ores
Zinc ores
Tin ores
Uranium ores
Thorium ores
Miscellaneous ores
Recoverd Materials
Ferro-alloys
Steel
Mild Steel
Alloys Waste
Iron
Pig iron
Lead
Zinc
Tin
Copper
Aluminium
Nickel
Scandium
Titanium
Vanadium
Chromium
Manganese
Cobalt
Yttrium
Zirconium
Technetium
Ruthenium
Rhodium
Cadmium
Lutetium
Hafnium
Tantalum
Tungsten
Iridium
Gallium
Indium
Thallium
Barium
Caesium
Strontium
Rubidium
Calcium
Potassium
Magnesium
Sodium
Lithium
Niobium
Osmium
Rhenium
Palladium
Molybdenum
Mineral water
Ice
Distilled Water
Drinking Water
Non Drinking Water
Water Distribution
Operation of a water-purification plant
Water demineralisation services
Water desalination services
Water softening services
Hot Water
Steam
District Heating
Well drilling machinery
Rock cutting machinery
Tunnelling machinery
Boring machinery
Sinking Machinery
Offshore production platforms
Oil drilling equipment
Mine Roof Support
Earthmoving machinery
Graders and levellers
Scraper machines
Tamping machines
Shovel loaders
Excavators, JCB
Road-surfacing machinery
Snow Ploughs
Pile Extractors
Compacting Machinery
Cable Laying machinery
Pipeline machinery
Sorting and screening machines
Machines for mixing gravel with bitumen
Cement mixers
Grinding machines
Coal pulverizing mills
Foundry moulds
Metal Rolling Machinery
Casting machines
Workshop equipment
Drillships
Drilling Rigs
Floating Platforms
Marine Euqipments
Loadbearing equipment
Gantries
Mining Related construction
Oil & Gas related construction
Coal-gasification plant construction
Gas-production plant construction
Deck Fabrication Work
Test Drilling
Test Boring
Foundation Work
Drilling and exploration work
Coiled-tubing wellwork
Water-well drilling
Offshore mooring work
Subsea drilling work
Regasification services
Diving Services
Liner hanger services
Lining services
Mudlogging services
Well casing and tubing services
Well cementing services
Well drilling and production services
Well logging services
Well management services
Well testing services
Tubing services
Well completion services
Onshore services
Offshore services
Downhole services
Pipeline-inspection services
Gas distribution
Vehicle refuelling services
Seeds
Cereals
Root Vegetables
Fruit Vegetables
Tropical fruit
Non Tropical fruit
Potatoes
Fruit Juice
Vegetable Juice
Processed Vegetables
Processed Fruits
Raw Animal Feed
Processed Animal Feed
Animal Products
Eggs
Honey
Cattle
Bovine meat
Livestock
Poultry
Live poultry
Lamb and mutton
Small animals
Other meats
Meat Products
Fishes
Fish Products
Cooking Oil
Fats
Refined Oil
Edible Fats
Goat Milk
Cow Milk
Cream
Milk Powder
Butter
Cheese
Yoghurt
Buttermilk
Casein
Lactose or lactose syrup
Whey
Ice cream
Sorbet
Husked Rice
Flour
Food Mixes
Breakfast products
Glucose
Fructose
Starches
Tapioca
Bread
Sandwiches
Pastry Goods
Cakes
Morning Goods
Sugar
